#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  8.400000e-01
#! SET NORMALIZATION  2.813928e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.124266e-01 -3.617716e-01 1.208093e-02
ROW1_psi1 -3.633756e-01 5.227788e-01 -2.503583e-02
ROW2_theta1 1.050374e-02 -2.424866e-02 1.164139e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  8.800000e-01
#! SET NORMALIZATION  2.813888e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.076022e-01 -3.578994e-01 1.209248e-02
ROW1_psi1 -3.593636e-01 5.100519e-01 -2.458802e-02
ROW2_theta1 1.043877e-02 -2.340268e-02 1.099594e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  9.200000e-01
#! SET NORMALIZATION  2.813848e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.028472e-01 -3.538842e-01 1.205965e-02
ROW1_psi1 -3.549769e-01 4.982071e-01 -2.415557e-02
ROW2_theta1 1.035300e-02 -2.263961e-02 1.037832e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  9.600000e-01
#! SET NORMALIZATION  2.813808e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.981261e-01 -3.499936e-01 1.202246e-02
ROW1_psi1 -3.509609e-01 4.863175e-01 -2.367401e-02
ROW2_theta1 1.032020e-02 -2.198905e-02 9.768253e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.000000e+00
#! SET NORMALIZATION  2.813768e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.932873e-01 -3.459948e-01 1.191046e-02
ROW1_psi1 -3.472355e-01 4.749906e-01 -2.311234e-02
ROW2_theta1 1.036993e-02 -2.146676e-02 9.180118e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.040000e+00
#! SET NORMALIZATION  2.813728e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.885267e-01 -3.420544e-01 1.176043e-02
ROW1_psi1 -3.435996e-01 4.646956e-01 -2.248998e-02
ROW2_theta1 1.040488e-02 -2.090134e-02 8.647579e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.080000e+00
#! SET NORMALIZATION  2.813688e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.837220e-01 -3.380397e-01 1.165768e-02
ROW1_psi1 -3.395349e-01 4.547817e-01 -2.182813e-02
ROW2_theta1 1.048462e-02 -2.041708e-02 8.146058e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.120000e+00
#! SET NORMALIZATION  2.813648e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.792983e-01 -3.344084e-01 1.157096e-02
ROW1_psi1 -3.348839e-01 4.464775e-01 -2.148293e-02
ROW2_theta1 1.052352e-02 -2.012645e-02 7.707219e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.160000e+00
#! SET NORMALIZATION  2.813608e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.750524e-01 -3.307222e-01 1.146822e-02
ROW1_psi1 -3.302238e-01 4.398714e-01 -2.122775e-02
ROW2_theta1 1.055066e-02 -1.976863e-02 7.260973e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.200000e+00
#! SET NORMALIZATION  2.813568e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.707887e-01 -3.270884e-01 1.137598e-02
ROW1_psi1 -3.254705e-01 4.331884e-01 -2.098824e-02
ROW2_theta1 1.045119e-02 -1.939689e-02 6.855170e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
